brandCode,code,name,horsePower,fuelTypeCode,engineTypeCode,yearFrom,yearTo,isActive,source,needsReview
YAMAHA,F2_5,F2.5,2,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,True
YAMAHA,F4,F4,4,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F6,F6,6,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F8,F8,8,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F9_9,F9.9,10,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,True
YAMAHA,F15,F15,15,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F20,F20,20,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F25,F25,25,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F30,F30,30,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F40,F40,40,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F50,F50,50,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F60,F60,60,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F70,F70,70,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F90,F90,90,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F115,F115,115,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F130,F130,130,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F150,F150,150,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F175,F175,175,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F200,F200,200,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F225,F225,225,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F250,F250,250,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,F300,F300,300,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,XTO_425,XTO 425,425,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
YAMAHA,XTO_450,XTO 450,450,GASOLINE,OUTBOARD,,,True,https://www.yamahaoutboards.com/,False
MERCURY_MARINE,FOURSTROKE_2_5,FourStroke 2.5,2,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,True
MERCURY_MARINE,FOURSTROKE_3_5,FourStroke 3.5,4,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,True
MERCURY_MARINE,FOURSTROKE_4,FourStroke 4,4,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_5,FourStroke 5,5,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_6,FourStroke 6,6,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_8,FourStroke 8,8,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_9_9,FourStroke 9.9,10,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,True
MERCURY_MARINE,FOURSTROKE_15,FourStroke 15,15,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_20,FourStroke 20,20,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_25,FourStroke 25,25,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_30,FourStroke 30,30,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_40,FourStroke 40,40,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_50,FourStroke 50,50,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_60,FourStroke 60,60,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_75,FourStroke 75,75,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_90,FourStroke 90,90,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_100,FourStroke 100,100,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_115,FourStroke 115,115,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_150,FourStroke 150,150,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_175,FourStroke 175,175,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_200,FourStroke 200,200,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_225,FourStroke 225,225,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_250,FourStroke 250,250,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,FOURSTROKE_300,FourStroke 300,300,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,VERADO_250,Verado 250,250,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,VERADO_300,Verado 300,300,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,VERADO_350,Verado 350,350,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,VERADO_400,Verado 400,400,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_115,Pro XS 115,115,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_150,Pro XS 150,150,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_175,Pro XS 175,175,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_200,Pro XS 200,200,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_225,Pro XS 225,225,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_250,Pro XS 250,250,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,PRO_XS_300,Pro XS 300,300,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,450,450,450,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,500,500,500,GASOLINE,OUTBOARD,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_4_5L_250,MerCruiser 4.5L 250,250,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_6_2L_300,MerCruiser 6.2L 300,300,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_6_2L_350,MerCruiser 6.2L 350,350,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_8_2L_380,MerCruiser 8.2L 380,380,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_8_2L_430,MerCruiser 8.2L 430,430,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
MERCURY_MARINE,MERCRUISER_BRAVO_4_5_250,MerCruiser Bravo 4.5 250,250,GASOLINE,STERNDRIVE,,,True,https://www.mercurymarine.com/,False
SUZUKI_MARINE,DF2_5,DF2.5,2,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,True
SUZUKI_MARINE,DF4,DF4,4,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF6,DF6,6,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF9_9,DF9.9,10,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,True
SUZUKI_MARINE,DF15,DF15,15,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF20,DF20,20,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF25,DF25,25,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF30,DF30,30,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF40,DF40,40,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF50,DF50,50,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF60,DF60,60,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF70,DF70,70,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF90,DF90,90,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF100,DF100,100,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF115,DF115,115,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF140,DF140,140,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF150,DF150,150,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF175,DF175,175,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF200,DF200,200,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF250,DF250,250,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF300,DF300,300,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
SUZUKI_MARINE,DF350,DF350,350,GASOLINE,OUTBOARD,,,True,https://www.suzukimarine.com/,False
HONDA_MARINE,BF2_3,BF2.3,2,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,True
HONDA_MARINE,BF4,BF4,4,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,False
HONDA_MARINE,BF5,BF5,5,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,False
HONDA_MARINE,BF6,BF6,6,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,False
HONDA_MARINE,BF8,BF8,8,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,False
HONDA_MARINE,BF9_9,BF9.9,10,GASOLINE,OUTBOARD,,,True,https://marine.honda.com/,True
