"# Data (c) OpenStreetMap contributors, ODbL (https://www.openstreetmap.org/copyright)"
code,name,type,province,district,cityCode,latitude,longitude,osmId,needsReview
TR_ANTALYA_BALIKCI_BARINAGI_PLAJI,Balıkçı Barınağı Plajı,FISHING_HARBOR,Antalya,,07,36.7993858,30.5769248,r13325054,False
TR_ANTALYA_ALANYA_LIMANI,Alanya Limanı,MARINA,Antalya,,07,36.5395109,32.0033936,n823443291,False
TR_ANTALYA_ALANYA_MARINA,Alanya Marina,MARINA,Antalya,,07,36.5587401,31.9490781,w824089212,False
TR_ANTALYA_ANTALYA_YAT_LIMANI_OLD_HARBOR,Antalya Yat Limanı / Old Harbor,MARINA,Antalya,,07,36.8843625,30.7021496,n1420290795,False
TR_ANTALYA_GAZIPASA_GOLD_MARINA,Gazipaşa Gold Marina,MARINA,Antalya,,07,36.2646036,32.2788435,w1473627805,False
TR_ANTALYA_KAS_LIMANI,Kaş Limanı,MARINA,Antalya,,07,36.1979701,29.6415749,w292728298,False
TR_ANT_KEMER,Kemer Marina,MARINA,Antalya,,07,36.6008739,30.5727155,w176919553,True
TR_ANTALYA_MARINA_N1988292649,Marina (Antalya),MARINA,Antalya,,07,36.5389108,32.004377,n1988292649,True
TR_ANTALYA_MARINA_N310523316,Marina (Antalya),MARINA,Antalya,,07,36.2623867,29.4141342,n310523316,True
TR_ANTALYA_MARINA_N8199231314,Marina (Antalya),MARINA,Antalya,,07,36.2612216,30.0676431,n8199231314,True
TR_ANTALYA_MARINA_N10197695318,Marina (Antalya),MARINA,Antalya,,07,36.5206385,30.5464624,n10197695318,True
TR_ANTALYA_MARINA_N1381863003,Marina (Antalya),MARINA,Antalya,,07,36.7269632,30.5627538,n1381863003,True
TR_ANTALYA_MARINA_N1822037335,Marina (Antalya),MARINA,Antalya,,07,36.1960851,29.8474053,n1822037335,True
TR_ANTALYA_MARINA_N2482113024,Marina (Antalya),MARINA,Antalya,,07,36.8533867,31.0400824,n2482113024,True
TR_ANTALYA_MARINA_N11549102271,Marina (Antalya),MARINA,Antalya,,07,36.5195628,30.5409675,n11549102271,True
TR_ANTALYA_PORT_AKDENIZ,Port Akdeniz,MARINA,Antalya,,07,36.8348394,30.6152826,n823424423,False
TR_ANT_KALEICI,Setur Antalya Yat Limanı,MARINA,Antalya,,07,36.8329224,30.6056838,w1474146821,True
TR_ANTALYA_SETUR_DEMRE_YAT_LIMANI,Setur Demre Yat Limanı,MARINA,Antalya,,07,36.2141784,29.9848178,w1474171481,False
TR_ANT_FINIKE,Setur Finike Yat  Limanı,MARINA,Antalya,,07,36.2939938,30.1503276,w951505807,False
TR_ANTALYA_SETUR_KAS_MARINA,Setur Kaş Marina,MARINA,Antalya,,07,36.2038591,29.6299053,w951507333,False
TR_ANTALYA_YAT_PARK_YERI,Yat park yeri,MARINA,Antalya,,07,36.5362798,30.5568398,n11549101969,False
TR_ANTALYA_CAYAGZI,Çayağzı,MARINA,Antalya,,07,36.2239274,29.942127,w881669780,False
TR_ANTALYA,Морской порт Марина,MARINA,Antalya,,07,36.5996859,30.5732643,n14118634102,False
TR_AYDIN_DIDIM_AKBUK_BALIKCI_BARINAGI,Didim-Akbük Balıkçı Barınağı,FISHING_HARBOR,Aydın,,09,37.3859674,27.4309854,w860989500,False
TR_AYD_DIDIM,D - Marin Didim,MARINA,Aydın,,09,37.3376024,27.261736,w1098286233,True
TR_AYDIN_DAVUTLAR_LIMANI,Davutlar Limanı,MARINA,Aydın,,09,37.7467697,27.2516424,n5896567130,False
TR_AYDIN_GUZELCAMLI_LIMANI,Güzelçamlı Limanı,MARINA,Aydın,,09,37.7199305,27.2250772,n2994554763,False
TR_AYDIN_MARINA_N13942090811,Marina (Aydın),MARINA,Aydın,,09,37.9101675,27.2628565,n13942090811,True
TR_AYDIN_MARINA_W58203142,Marina (Aydın),MARINA,Aydın,,09,37.3500995,27.2753098,w58203142,True
TR_AYD_KUSADASI,Setur Kuşadası Marina,MARINA,Aydın,,09,37.870377,27.2618195,w552566304,True
TR_AYDIN_YAT_TURLARI,Yat turları,MARINA,Aydın,,09,37.8620288,27.2494892,n4233999097,False
TR_BALIKESIR_BANDIRMA_BALIKCI_BARINAGI,Bandırma Balıkçı Barınağı,FISHING_HARBOR,Balıkesir,,10,40.3616966,27.9758342,w280136981,False
TR_BALIKESIR_AKCAY_YAT_LIMANI,Akçay Yat Limanı,MARINA,Balıkesir,,10,39.5841311,26.8817913,n5623614143,False
TR_BAL_AYVALIK,Ayvalık Marina,MARINA,Balıkesir,,10,39.3130845,26.6863859,w274096559,False
TR_BALIKESIR_BANDIRMA_LIMAN_SAHASI,Bandırma Liman Sahası,MARINA,Balıkesir,,10,40.3547506,27.9604401,w887815257,False
TR_BALIKESIR_BURHANIYE_YAT_LIMANI,Burhaniye Yat Limanı,MARINA,Balıkesir,,10,39.4847003,26.9267037,n4861750695,False
TR_BALIKESIR_MARINA_W280136979,Marina (Balıkesir),MARINA,Balıkesir,,10,40.3540559,27.9679444,w280136979,True
TR_BALIKESIR_MARINA_W280136980,Marina (Balıkesir),MARINA,Balıkesir,,10,40.3565291,27.9681475,w280136980,True
TR_BALIKESIR_MARINA_N4965260056,Marina (Balıkesir),MARINA,Balıkesir,,10,39.3934966,26.8039227,n4965260056,True
TR_BALIKESIR_MARINA_W904428808,Marina (Balıkesir),MARINA,Balıkesir,,10,40.3550782,27.9682224,w904428808,True
TR_BALIKESIR_MARINA_W908830766,Marina (Balıkesir),MARINA,Balıkesir,,10,40.3949069,27.7893215,w908830766,True
TR_BALIKESIR_MISAKCA_LIMANI,Misakça Limanı,MARINA,Balıkesir,,10,40.3099321,27.6718624,w1112263529,False
TR_BARTIN_AMASRA_BUYUK_LIMANI,Amasra Büyük Limanı,MARINA,Bartın,,,41.7458188,32.3928481,r7444939,False
TR_BARTIN_AMASRA_TARLAAGZI_LIMANI,Amasra Tarlaağzı Limanı,MARINA,Bartın,Amasra / Bartın,,41.7231391,32.3366318,w313363041,False
TR_BARTIN_KURUCASILE_LIMANI,Kurucaşile Limanı,MARINA,Bartın,,,41.8461409,32.723319,n11573214388,False
TR_BARTIN_KUCUK_LIMAN,Küçük Liman,MARINA,Bartın,,,41.7486662,32.3839592,n5014382855,False
TR_BITLIS_AHLAT_YAT_LIMANI,Ahlat Yat Limanı,MARINA,Bitlis,,,38.7535412,42.5058279,w1186666283,False
TR_BOLU_YENICAGA_ISKELESI,Yeniçağa İskelesi,MARINA,Bolu,,,40.7738581,32.0302033,n11017292607,False
TR_BURSA_BUYUKKUMLA_ISKELESI,Büyükkumla İskelesi,MARINA,Bursa,,,40.4767613,29.0837683,n2794622004,False
TR_BURSA_GUZELYALI_YAT_LIMANI,Güzelyalı Yat Limani,MARINA,Bursa,,,40.3560226,28.9303421,n11450096002,False
TR_BURSA_KARACAALI_ISKELESI,Karacaali İskelesi,MARINA,Bursa,,,40.478702,29.0633127,n13872728204,False
TR_BURSA_KURSUNLU_YAT_LIMANI,Kurşunlu Yat Limanı,MARINA,Bursa,,,40.3645245,29.0329387,w1165497962,False
TR_BURSA_TIRILYE_LIMANI,Tirilye Limanı,MARINA,Bursa,,,40.3927331,28.8007944,n11865648199,False
TR_DUZCE_AKCAKOCA_LIMAN_VE_BALIKCI_BARI,Akçakoca Liman ve Balıkçı Barınağı Proje Sahası,FISHING_HARBOR,Düzce,,,41.0945059,31.166623,w1515395082,False
TR_DUZCE_AKCAKOCA_LIMANI,Akçakoca Limanı,MARINA,Düzce,,,41.090661,31.1218845,n2798560812,False
TR_EDIRNE_YAYLA_SAHILI_BALIKCI_BARINAGI,Yayla Sahili Balıkçı Barınağı,FISHING_HARBOR,Edirne,,,40.6066549,26.374832,w810882234,False
TR_EDIRNE_IBRICE_LIMANI,İbrice Limanı,MARINA,Edirne,,,40.6025458,26.5423278,n2313378433,False
TR_GIRESUN_BALIKCI_BARINAGI,Balıkçı Barınağı,FISHING_HARBOR,Giresun,,,40.9160979,38.3778717,w1529903622,False
TR_GIRESUN_PORT_OF_GIRESUN,Port of Giresun,MARINA,Giresun,,,40.919414,38.3775934,n825452156,False
TR_HATAY_DORTYOL_BALIKCI_BARINAGI,Dörtyol Balıkçı Barınağı,FISHING_HARBOR,Hatay,,,36.8214891,36.171193,w144117154,False
TR_HATAY_CEVLIK_BALIKCI_BARINAGI,Çevlik Balıkçı Barınağı,FISHING_HARBOR,Hatay,,,36.1257989,35.914537,w494790907,False
TR_HATAY_ISKENDERUN_BALIKCI_BARINAGI,İskenderun Balıkçı Barınağı,FISHING_HARBOR,Hatay,,,36.5932549,36.1780583,n12293440861,False
TR_HATAY_KONACIK,Konacik,MARINA,Hatay,,,36.3605045,35.818584,n1519722167,False
TR_HATAY_MADENLI_YAT_LIMANI,Madenli Yat Limanı,MARINA,Hatay,,,36.4819396,35.9867022,n13525024638,False
TR_HATAY_PORT_OF_ISKENDERUN,Port of Iskenderun,MARINA,Hatay,,,36.6002287,36.1868078,n846566255,False
TR_ISPARTA_MARINA_W371771418,Marina (Isparta),MARINA,Isparta,,,37.8825053,30.8697875,w371771418,True
TR_ISPARTA_MARINA_W372832543,Marina (Isparta),MARINA,Isparta,,,37.8755833,30.8555613,w372832543,True
TR_KASTAMONU_ABANA_LIMANI,Abana Limanı,MARINA,Kastamonu,,,41.9808149,34.0212464,w1060305848,False
TR_KASTAMONU_PORT_OF_INEBOLU,Port of Inebolu,MARINA,Kastamonu,,,41.9799367,33.7713724,n837534809,False
TR_KASTAMONU_ILISI_LIMANI,İlişi Limanı,MARINA,Kastamonu,,,41.9786414,33.9658091,w1060306523,False
TR_KOCAELI_DEGIRMENDERE_BALIKCI_BARINAGI,Değirmendere Balıkçı Barınağı,FISHING_HARBOR,Kocaeli,,41,40.7189073,29.7721384,w1428949158,False
TR_KOCAELI_KERPE_BALIKCI_BARINAGI,Kerpe Balıkçı Barınağı,FISHING_HARBOR,Kocaeli,,41,41.1543683,30.1960338,w1072583541,False
TR_KOCAELI_ALEMDAR_LIMANI,Alemdar Limanı,MARINA,Kocaeli,,41,40.7679426,29.5380285,n823480818,False
TR_KOCAELI_BAYRAMOGLU_MARINA_YAT_LIMANI,Bayramoğlu Marina Yat Limanı,MARINA,Kocaeli,,41,40.790774,29.3431709,n5293882355,False
TR_KOCAELI_EREGLI_LIMANI,Ereğli Limanı,MARINA,Kocaeli,,41,40.7017927,29.6585893,w307287753,False
TR_KOCAELI_HALIDERE_TEKNE_VE_YAT_BARINAGI,Halıdere Tekne ve Yat Barınağı,MARINA,Kocaeli,,41,40.7169959,29.7580111,w1307036092,False
TR_KOCAELI_HEREKE_YAT_VE_TEKNE_LIMANI,Hereke Yat ve Tekne Limanı,MARINA,Kocaeli,,41,40.7831435,29.6182018,n11544754703,False
TR_KOCAELI_KEFKEN_LIMANI,Kefken Limanı,MARINA,Kocaeli,,41,41.1685359,30.2253353,n4387190657,False
